q1	q2	q3	q4	q5	q6	q7	q8	q9	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21	q22	Location	Position	Status	Gender	Comments	PDCPDCProjectID	PDCPDCAppVer	Date	HTTP_USER_AGENT	REMOTE_ADDR	REMOTE_HOST	REMOTE_USER
3	3	4	2	2	2	4	4	4	4	3	4	4	4	3	2	4	4	3	2	2	4	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:08:47	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	155.31.20.246	node20-246.unnamed.db.erau.edu	
2	1	2	2	2	1	1	1	2	1	3	2	2	2	4	2	4	3	1	1	1	2	1	2	1	2	Thank you for seeking inputs from our faculty and staff. I am confident that progress is being realized in our attempts to involve faculty      staff      and students in the University's direction. Communicating the results of this climate survey is   a critical piece for its credibility.          	Climate	3.00.63	Wed Feb 05 2002 13:08:48	Mozilla/4.51 [en] (WinNT; U)	155.31.22.158	node22-158.unnamed.db.erau.edu	
1	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	3	1	1	3	1	3	1	2	1			Climate	3.00.63	Wed Feb 05 2002 13:09:19	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	155.31.20.244	node20-244.unnamed.db.erau.edu	
1	3	3	2	1	2	2	3	2	2	2	2	3	3	2	2	2	2	2	2	1	2	3	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:09:36	Mozilla/4.76 [en] (WinNT; U)	155.31.11.152	node11-152.unnamed.db.erau.edu	
2	2	3	2	2	2	2		4	4	4	4	4	4	2	4	5	3	3	1	2	4	1		1	2		Climate	3.00.63	Wed Feb 05 2002 13:09:41	Mozilla/4.72 [en] (WinNT; U)	155.31.249.83	node249-83.sim.db.erau.edu	
1	1	1	1	1	1	1	1	1	1	1	1	4	4	3	1	2	1	1	1	1	2	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:09:56	Mozilla/4.76 [en] (WinNT; U)	155.31.71.30	node71-30.unnamed.db.erau.edu	
1	3	2	3	1	1	1	2	2	2	2	2	3	3	3	1	1	3	2	2	3	3	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:10:02	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	155.31.25.118	node25-118.unnamed.db.erau.edu	
2	4	4	4	3	3	1	4	4	3	4	5	4	5	5	5	5	4	3	2	1	3	3	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:10:05	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; Q312461)	155.31.11.39	node11-39.unnamed.db.erau.edu	
2	2	1	1	2	2	2	3	3	3	2	2	2	2	3	2	2	2	2	2	2	3	4	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:10:26	Mozilla/5.0 (Windows; U; Win98; en-US; rv:0.9.4) Gecko/20011128 Netscape6/6.2.1	12.158.192.7	cache.minot.com	
2	2	2	1	1	1	2	4	2	2	1	1	4	4	5	1	4	4	2	2	1	2	1	2	1	1	Woman are underpaid compared to men who hold comparable positions.  The president needs to stop spending the Universities money on himself.              	Climate	3.00.63	Wed Feb 05 2002 13:10:56	Mozilla/4.72 [en] (WinNT; U)	155.31.230.125	node230-125.unnamed.db.erau.edu	
2	4	4	2	4	4	1	2	2	2	4	4	4	2	3	4	5	4	2	2	2	3	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:12:07	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)	155.31.19.15	node19-15.unnamed.db.erau.edu	
3	3	5	2	2		2	2	3	3	4	4	4		4	2	4	3	2	2	2	2	2	1	1	2		Climate	3.00.63	Wed Feb 05 2002 13:13:11	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	206.207.156.248	local248-156.campus.pr.erau.edu	
3	2	4	2	2	2	2	2	3	4	3	4	4	2	3	2	5	4	2	2	2	4	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:13:47	Mozilla/4.76 [en] (WinNT; U)	155.31.21.51	node21-51.unnamed.db.erau.edu	
1	2	3	2	1	1	1	2	2	2	3	3	3	2	2	2	2	3	2	2	2	3	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:14:25	Mozilla/4.0 (compatible; MSIE 6.0; Windows 98; Q312461) WebWasher 3.0	155.31.248.101	node248-101.infotech.db.erau.edu	
5	2	4	5	3	5	1	2	2	2	3	3	3	4	2	2	2	2	2	2	2	3	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:14:40	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)	155.31.21.25	node21-25.unnamed.db.erau.edu	
1	1	1	2	3	3	2	4	4	2	3	2	5	2	1	5	5	5	1	1	1	1	3	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:14:41	Mozilla/4.72 [en] (WinNT; I)	155.31.11.157	node11-157.unnamed.db.erau.edu	
4	4	5	1	1	1	3	5	5	5	5	5	5	5	3	1	3	5	3	3	2	5	1	1	1	2	When will we know the budget for 2002-2003?          Why should I keep working at ERAU      teach 4 classes      and do service when I can go to UCF (or any other SUS school)      make more money      teach two classes      and have time and resources to engage in other scholarly activities?           When will ERAU either become a University or decide to go back to being a tech school?	Climate	3.00.63	Wed Feb 05 2002 13:16:24	Mozilla/4.0 (compatible; MSIE 5.01; Windows 98)	207.30.118.229	user229.net040.fl.sprint-hsd.net	
2	1	2	3	1	1	2	4	2	3	3	3	4	4	5	2	5	4	2	2	2	4	2	1	1	2	I personally believe that the University has suffered an identity crisis for the past 10-12 years.  There continues to be a lot of rhetoric about becoming a more traditional university      yet we continue to maintain the status quo of 15 years ago.  A great deal of effort and money goes into talking about new initiatives      new curricula      and new directions for the university      but I have yet to see any progress.                    If the University administration really doesn't support ERAU becoming a more traditional university      then the administration should stop talking as though it does.  Accept the fact that we're primarily a technical institution where faculty scholarship and diverse curricula are not valued      and stop whetting people's appetites for a vision that is not going to be realized.                    We really are the world's number one aeronautical University.  Let's be proud of that and build on that strength.          	Climate	3.00.63	Wed Feb 05 2002 13:17:03	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	206.207.156.178	local178-156.campus.pr.erau.edu	
1	1	2	2	1	1	3	3	1	2	5	4	3	1	3	1	5	3	2	2	1	3	2	1	1	2		Climate	3.00.63	Wed Feb 05 2002 13:17:35	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	206.207.155.228	local228-155.campus.pr.erau.edu	
2	3	2	2	2		1	3	3	3	3	3	3	3	3	2	1	1	1	2	2	2	4	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:18:05	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98; DigExt)	63.11.145.245	1cust245.tnt4.tucson.az.da.uu.net	
3	3	2	3	4	3	1	4	3	5	3	4	4	5	4	3	4	3	3	2	1	4	1	1	1	2		Climate	3.00.63	Wed Feb 05 2002 13:18:45	Mozilla/4.51 [en] (WinNT; U)	155.31.129.192	node129-192.unnamed.db.erau.edu	
2	1	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	1	2	1			Climate	3.00.63	Wed Feb 05 2002 13:18:51	Mozilla/4.76 [en] (WinNT; U)	155.31.25.112	node25-112.unnamed.db.erau.edu	
2	2	2	2	2	2	1	1	1	2	2	2	3	2	4	2	3	2	1	2	2	3	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:19:09	Mozilla/4.0 (compatible; MSIE 5.0; Windows 98)	204.108.10.10	awaproxy.faa.gov	
2	2	2	2	3	3	2	2	4	2			2	2	2	2		2	2	3	2	3	4	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:20:36	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)	209.208.84.222	jcvmflifn-as-1-ip-95.atlantic.net	
1	2	4	2	3	2	2	3	3	3	3	3	4	2	3	3	4	5	2	2	2	3	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:22:07	Mozilla/4.72 [en] (WinNT; U)	155.31.248.155	node248-155.infotech.db.erau.edu	
2	3	2	2	3		1	1	2	3	3	3	3			1	1	2	1	1	1	3	4	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:22:48	Mozilla/4.0 (compatible; MSIE 6.0; Windows 98)	67.227.213.164	1cust164.tnt5.spokane.wa.da.uu.net	
2	2	3	2	2	2	2	2	2	3			3	4	2	2	4	3	2	2	2	2	3	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:24:40	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	155.31.11.177	node11-177.unnamed.db.erau.edu	
3	3	4	4	2	2	3	3	2			4	5	4		3	3		2	2	2	4	1	1	1	2		Climate	3.00.63	Wed Feb 05 2002 13:25:16	Mozilla/4.72 [en] (WinNT; U)	155.31.70.28	node70-28.unnamed.db.erau.edu	
2	2		2	2	4	1	3	2	2	2	2	3	2	3	2		4	2	2	2	2	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:25:17	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	155.31.21.148	node21-148.unnamed.db.erau.edu	
4	3	4	2	2	2	2	3	4	4	4	4	5	3	3	4	4	3	2	2	2	4	1	2	1	2	  	Climate	3.00.63	Wed Feb 05 2002 13:25:33	Mozilla/4.72 [en] (WinNT; U)	155.31.70.172	node70-172.unnamed.db.erau.edu	
2	5	5	2	2	2	2	2	2	2	2	2	2	5	5	5	4	2	2	1	1	2	2	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:27:15	Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:0.9.2) Gecko/20010726 Netscape6/6.1	206.207.155.221	local221-155.campus.pr.erau.edu	
3	2	3	4	2	2	2	2	2	2	2	2	4	5	3	2	4	2	2	2	2	3	3	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:27:16	Mozilla/4.51 [en] (WinNT; U)	155.31.11.138	node11-138.unnamed.db.erau.edu	
4	1	3	1	1	1	1	1	1	1	1	2	3	5	3	3	5	2	2	1	1	1	3	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:27:26	Mozilla/4.51 [en] (WinNT; U)	155.31.11.199	node11-199.unnamed.db.erau.edu	
2	2	3	2	2	3	2	4	4	3	4	2	4	2	4	3	4	3	2	2	2	3	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:27:50	Mozilla/4.76 [en] (Windows NT 5.0; U)	155.31.25.80	node25-80.unnamed.db.erau.edu	
1	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:27:55	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)	155.31.248.231	node248-231.infotech.db.erau.edu	
2	2	4	2	4	4	1	3	3	3	3	3	3	4	3	4	4	2	2	1	1	1	4	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:29:43	Mozilla/4.77 [en] (Win98; U)	204.154.247.10	pm264.ridgenet.net	
2	2	3	4	4	2	1	2	2				4	3	4	3			3	1	1	2	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:30:09	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	155.31.4.219	node4-219.unnamed.db.erau.edu	
4	4	2	2	3	3	1	2	3	3	3	3	4	4	4	2	3	4	2	1	1	3	1	2	1	1	There are vast inequities in the handling of personnel issues in the Human Resource department. 	Climate	3.00.63	Wed Feb 05 2002 13:30:26	Mozilla/4.72 [en] (WinNT; U)	155.31.11.94	node11-94.unnamed.db.erau.edu	
2	2	3	2	2	2	2	2	2	2	2	3	3	3	3	2		3	2	2	2	2	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:31:13	Mozilla/4.72 [en] (WinNT; U)	155.31.249.55	node249-55.sim.db.erau.edu	
3	1	2	3	1	1	1	4	5	2	4	3	5	1	5	4	5	3	2	1	1	3	2	2	1	2	I believe ERAU      especially the Prescott campus      is a good place to work.  The University administration      however      is based in Daytona and makes decisions which affect the climate at Prescott without input from individuals outside of Daytona Beach.  Prescott is understaffed      uses obsolete facilities      and does not seem to be on the radar for improvements while new buildings and positions continue to be added at Daytona Beach.	Climate	3.00.63	Wed Feb 05 2002 13:32:20	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 4.0)	206.207.156.4	local4-156.campus.pr.erau.edu	
5	3	3	4	3	2	2	4	2	2	5	4	4	5	2	2	5	5	3	1	1	2	1	2	1	2	As an Embry-Riddle alumnus      it is depressing to see how ineffectively some of the departments are run.  There is a consistent level of mistrust and poltical "back biting" that I see every day in my department      which is tremendous drain on resources and stifles effectiveness.  Resources to perform a job are haphazardly distributed and management decisions are made in a "let's throw it up on the wall and see what sticks" approach.  Essentially      the department and the underlying attitudes are very dysfunctional.  Behavior like kissing up to the boss and constant self-promotion are encouraged in this environment while anyone that brings a differing opinion      comment or otherwise dose of realism is labelled as not a "team player".                      I think there needs to be shift in attitude for the university as a whole to customer service.  The fact is      you never hear it mentioned and students rarely experience it during their time at Embry-Riddle.  Ask the majority of alumni      why they do not give back to the university and I think you will find that poor customer service skills are a root cause.  Let's face it      the students make everything possible      without them there would be no reason for us to be here.                    Embry-Riddle is a great institution      its time we had more staff and administration worthy of its greatness.	Climate	3.00.63	Wed Feb 05 2002 13:32:46	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 4.0; Q312461)	155.31.21.34	node21-34.unnamed.db.erau.edu	
1	1	2	1	2	1	1	2	2	2	3	3	2	1	4	2	3	2	2	2	2	2	4	2	1	1	I would like to see more emphasis placed on recruitment of females and minorities in all positions      especially faculty.                    Communication between campuses needs to be strengthened on all levels.                    Information to the field from EC Headquarters is excellent. Also the information from the CAO is much appreciated.	Climate	3.00.63	Wed Feb 05 2002 13:33:29	Mozilla/4.0 (compatible; MSIE 4.01; Windows 98)	63.20.233.205	1cust205.tnt1.coupeville.wa.da.uu.net	
2	2	3	2	2	2	2	4	3	3	3	3	3	4	4	4	5	3	2	2	2	2	3	2	1	1	I learn more about what's going on at ERAU in the News-Journal than I do at work!  That shouldn't happen.  Also      I am concerned that the hefty tuition increases every year place too great a burden on our current and prospective students.	Climate	3.00.63	Wed Feb 05 2002 13:33:32	Mozilla/4.72 [en] (WinNT; U)	155.31.11.184	node11-184.unnamed.db.erau.edu	
2	2	3	2	1	1	1	2	3	3	2	2	2	2	2	3	3	1	1	1	1	2	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:33:51	Mozilla/4.51 [en] (WinNT; U)	155.31.130.215	node130-215.unnamed.db.erau.edu	
1	2	4	2	3	2	1	2	4	2	3	4	3	3	2	2	3	3	2	1	1	2	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:34:21	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	155.31.22.177	node22-177.unnamed.db.erau.edu	
2	2	1	1	1	1	1	4	2	2	3	2	3	2	4	2	3	3	1	2	2	4	1	2	1	1	Regarding questions 20 and 22:  I think the survey should be conducted periodically only if the results are used. My response to question 22 is based on past experience--we never heard the results      much less realized any gain attributed to the results of the former surveys.                    Question 8:  I have confidence in some      not all      persons in University leadership positions.                     Finally      questions should be asked regarding the infrastructure      i.e. the physical facilities in which one works (this being separate from "materials needed to do my job".) The rundown condition of the student center and library      for example      are a disgrace.	Climate	3.00.63	Wed Feb 05 2002 13:34:39	Mozilla/4.72 [en] (WinNT; U)	155.31.25.76	node25-76.unnamed.db.erau.edu	
2	2	4	3	1	2	1	2	2	2	2	4	5	5	3	3	3	3	1	1	1	2	3	2	1	1	The job descriptions and work load rarely matchs the education and pay requirements. They should be analyzed and assested better. There are high levels of training needed to do certain jobs here at EC that people in those positions are not paid approperlitly for.          	Climate	3.00.63	Wed Feb 05 2002 13:36:18	Mozilla/4.51 [en] (WinNT; U)	155.31.11.195	node11-195.unnamed.db.erau.edu	
2	3	2	2	2	2	2	3	2	3	3	3	3	5	2	3	5	2	2	2	2	3	2	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:36:40	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	206.207.155.44	local44-155.campus.pr.erau.edu	
2	3	2	2	2	2	2	3	2	3	3	3	3	5	2	3	5	2	2	2	2	3	2	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:36:41	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	206.207.155.44	local44-155.campus.pr.erau.edu	
2	3	2	2	2	2	2	3	2	3	3	3	3	5	2	3	5	2	2	2	2	3	2	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:36:43	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	206.207.155.44	local44-155.campus.pr.erau.edu	
4	2	3	5	4	2	2	3	3	4	4	5	4	3	4	2	4	5	3	1	1	3	1	2	1	1	I had the opportunity and the support of two deans to begin my Masters off-campus which is related to my position      which is unique on this campus.  Since my duties involve three departments      I was told that it would be possible to work a tuition waiver among the three so no one was greatly impacted.          I proceeded I told      and registered for two classes.  At several intervals I asked about the waiver      and was told to complete the classes. When I asked if they had contacted my institution about the payment      I was then told that the two courses would not be paid for.  It's truly discouraging when an educational institution does not support educating their own.  However      they will support higher degrees      in other departments      that no way relate to the job.  I realize there is not a specific exchange of money      but the principle is the same:  tuition is charged and must be taken care of.  It's amazing that there are some departments that gratefully encourage their employees to earn a higher education      on or off campus      and the department will pay.            I know this is nieve      however      we are supposed to trust the word of those above us.  However      I guess this institution is more business concerned than education concerned at this point.           Equity most definitely does not transcend departments.	Climate	3.00.63	Wed Feb 05 2002 13:36:54	Mozilla/4.51 [en] (WinNT; U)	155.31.23.94	node23-94.unnamed.db.erau.edu	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:37:07	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	155.31.230.228	node230-228.unnamed.db.erau.edu	
4	2	3	5	4	2	2	3	3	4	4	5	4	3	4	2	4	5	3	1	1	3	1	2	1	1	I had the opportunity and the support of two deans to begin my Masters off-campus which is related to my position      which is unique on this campus.  Since my duties involve three departments      I was told that it would be possible to work a tuition waiver among the three so no one was greatly impacted.          I proceeded I told      and registered for two classes.  At several intervals I asked about the waiver      and was told to complete the classes. When I asked if they had contacted my institution about the payment      I was then told that the two courses would not be paid for.  It's truly discouraging when an educational institution does not support educating their own.  However      they will support higher degrees      in other departments      that no way relate to the job.  I realize there is not a specific exchange of money      but the principle is the same:  tuition is charged and must be taken care of.  It's amazing that there are some departments that gratefully encourage their employees to earn a higher education      on or off campus      and the department will pay.            I know this is nieve      however      we are supposed to trust the word of those above us.  However      I guess this institution is more business concerned than education concerned at this point.           Equity most definitely does not transcend departments.	Climate	3.00.63	Wed Feb 05 2002 13:37:10	Mozilla/4.51 [en] (WinNT; U)	155.31.23.94	node23-94.unnamed.db.erau.edu	
2	2	3	2	1	1	2	2	3	3	4	3	3	2	3	2	3	2	2	2	2	2	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:37:25	Mozilla/4.72 [en] (WinNT; U)	155.31.25.54	node25-54.unnamed.db.erau.edu	
2	1	2	1	1	1	1	2	3	2	3	2	2	3	3	2	3	1	1	1	1	2	2	2	1	1	I joined ERAU four months ago after twenty years of experience in the Records area of a state university and an electronic distance learning university.  I am very pleased by what I have observed and the people I have met here. I have always believed in putting 'students first' and am glad to see it is a priority with ERAU also.	Climate	3.00.63	Wed Feb 05 2002 13:37:58	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	206.207.155.231	local231-155.campus.pr.erau.edu	
5	2	3	2	1	1	2	4	4	4	4	4	4	4	5	2	5	5	2	1	1	4	1	2	1	1	Why is it that some departments constantly get new equipment/furniture while others have to either make do with what they've got or take hand-me-downs?  The furniture in some areas pose a safety hazard      yet there is no $$ available to solve the problem.	Climate	3.00.63	Wed Feb 05 2002 13:38:02	Mozilla/4.51 [en] (WinNT; U)	155.31.23.236	node23-236.unnamed.db.erau.edu	
1	4	5	2	2	1	1	1	3					2		2	5	3	2	1	1	5	1	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:38:26	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)	155.31.235.101	node235-101.acad.db.erau.edu	
2	2	4	1	1	1	1	2	3	3	4	4	3	1	2	2	4	2	1	1	2	1	2	1	1	2	Thank you for this climate survey.          I feel the university is headed in the right direction               but we all realize there is a lot of work to be done.          I have confidence the President      Provost      and Chancellor          are helping move us in the right direction.          More cross-campus interaction will be needed (including          incorporating the EC) to build working relations.	Climate	3.00.63	Wed Feb 05 2002 13:39:34	Mozilla/4.7 [en]C-CCK-MCD NSCPCD47  (WinNT; I)	206.207.155.85	local85-155.campus.pr.erau.edu	
4	4	5	2	2	5	2			4	4		5	2	2	4		4	2	1	1	1	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:39:39	Mozilla/4.72 [en] (WinNT; U)	155.31.70.26	node70-26.unnamed.db.erau.edu	
1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:40:30	Mozilla/4.72 [en] (WinNT; U)	155.31.230.117	node230-117.unnamed.db.erau.edu	
2	2	4	2	1	1	2	2	3	2	3	3	2	3		2	2	2	1	2	2	2	2	2	1	1	   I would like to take advantage of more professional development opportunities. I feel that if I did      my work would suffer because my workload is too great      but my supervisor is very helpful and supportive      and work has been done in our department to create another position which would help alleviate some of my duties. I appreciate the efforts within my department to solve this problem and help me deal with my current workload.              Overall      I think that Embry-Riddle is one of the best places in Prescott to work      and I feel very lucky to work here.	Climate	3.00.63	Wed Feb 05 2002 13:41:35	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	206.207.155.60	local60-155.campus.pr.erau.edu	
1	1	1	1	1	1	1	3	3	3	3	3	5	3	3	2	5	2	2	2	1	3	3	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:42:39	Mozilla/4.0 (compatible; MSIE 5.5; Windows 98)	155.31.11.33	node11-33.unnamed.db.erau.edu	
4	2	4	5	4	2	1	1	2	2	2	2	2		2	1	2	4	1	2	2	1	3	2	1	1	In regard to #14; I have only been here one year so I have left this one blank.  However      in re. to benefits specifically      I have heard many complaints about Florida Health Care and am disappointed that the University does not look into other HMO options.  If they did      I would love to switch to the HMO.                    In regard to #15      reverse discrimination can also be an issue.  I strongly feel that that person having the best qualifications for a position should receive the position/promotion      etc. Definitely not based on sex or race.                    In re. to #18      although I feel that there is a lack of trust between the staff and different departments      I do not get involved and therefore      my answer to #19 is very satisfied.	Climate	3.00.63	Wed Feb 05 2002 13:42:54	Mozilla/4.72 [en] (WinNT; U)	155.31.11.200	node11-200.unnamed.db.erau.edu	
2	4	3	2	3	2	1	1	2	2	3	2	3	2	2	2	3	2	2	2	2	2	3	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:43:50	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)	155.31.25.192	node25-192.unnamed.db.erau.edu	
2	1	1	1	1		1	1	1	2	2	3	2	2	3	1	2	1	1	2	2	2	2	2	1	1	I started working here October 15     2001.  My Supervisor will soon be speaking to me about my objectives and progress.  This will be my first evaluation.  So      as yet      I am unable to answer question number 6.	Climate	3.00.63	Wed Feb 05 2002 13:44:13	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 4.0)	206.207.155.224	local224-155.campus.pr.erau.edu	
2	2	2	2		2	2	1	3	2	3	3	3	4	2	2	2	4	2	1	1	1	1	2	1	1	The new men in charge have shown great strength to date.          I anticipate seeing great and good changes because of their strength and dedication to this University.  We're on a roll and our future looks bright.  We need to continue with these good things and keep putting corrective action plans into place.  Keep up the good work      we have a good thing going here.	Climate	3.00.63	Wed Feb 05 2002 13:44:49	Mozilla/4.72 [en] (WinNT; U)	155.31.230.109	node230-109.unnamed.db.erau.edu	
2	3	4	5	5	5	2	2	2	2	2	2	2	3	2	2	2	2	2	1	1	1	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:45:02	Mozilla/4.51 [en] (WinNT; U)	155.31.23.233	node23-233.unnamed.db.erau.edu	
2	3	4	2	1	1	2	2	3	3	4	3	4	5	4	4	5	2	2	2	1	2	4	2	1	2		Climate	3.00.63	Wed Feb 05 2002 13:45:11	Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)	65.229.37.54	1cust54.tnt36.mia5.da.uu.net	
2	3	2	2	2	4	1	3	2	2	2	2	3	2	4	2	3	3	1	1	3	1	1	2	1	1		Climate	3.00.63	Wed Feb 05 2002 13:46:08	Mozilla/4.72 [en] (WinNT; U)	155.31.25.190	node25-190.unnamed.db.erau.edu	
